participant_id,scenario,framing,rating,framing_dummy
36126649,1,negative,3.0,0
36126649,2,negative,2.0,0
36126649,3,negative,7.0,0
36126649,4,positive,6.0,1
36126649,5,positive,2.0,1
36126649,6,negative,7.0,0
36126649,7,positive,4.0,1
36126649,8,positive,6.0,1
36126649,9,positive,5.0,1
36126649,10,negative,6.0,0
36126884,1,negative,3.0,0
36126884,2,positive,6.0,1
36126884,3,positive,3.0,1
36126884,4,positive,7.0,1
36126884,5,negative,4.0,0
36126884,6,negative,7.0,0
36126884,7,positive,3.0,1
36126884,8,negative,2.0,0
36126884,9,negative,1.0,0
36126884,10,positive,7.0,1
36127615,1,negative,1.0,0
36127615,2,negative,1.0,0
36127615,3,negative,2.0,0
36127615,4,positive,6.0,1
36127615,5,positive,7.0,1
36127615,6,negative,2.0,0
36127615,7,positive,6.0,1
36127615,8,positive,5.0,1
36127615,9,positive,7.0,1
36127615,10,negative,1.0,0
36142455,1,negative,4.0,0
36142455,2,negative,5.0,0
36142455,3,negative,4.0,0
36142455,4,positive,7.0,1
36142455,5,positive,6.0,1
36142455,6,negative,2.0,0
36142455,7,positive,5.0,1
36142455,8,positive,7.0,1
36142455,9,positive,3.0,1
36142455,10,negative,6.0,0
36146453,1,negative,7.0,0
36146453,2,negative,4.0,0
36146453,3,negative,7.0,0
36146453,4,positive,5.0,1
36146453,5,positive,4.0,1
36146453,6,negative,7.0,0
36146453,7,positive,1.0,1
36146453,8,positive,3.0,1
36146453,9,positive,3.0,1
36146453,10,negative,7.0,0
36146705,1,positive,6.0,1
36146705,2,negative,7.0,0
36146705,3,negative,1.0,0
36146705,4,negative,3.0,0
36146705,5,positive,6.0,1
36146705,6,positive,1.0,1
36146705,7,positive,4.0,1
36146705,8,negative,4.0,0
36146705,9,negative,1.0,0
36146705,10,positive,4.0,1
36147027,1,positive,4.0,1
36147027,2,negative,3.0,0
36147027,3,negative,3.0,0
36147027,4,negative,6.0,0
36147027,5,positive,7.0,1
36147027,6,positive,1.0,1
36147027,7,positive,1.0,1
36147027,8,negative,1.0,0
36147027,9,negative,6.0,0
36147027,10,positive,6.0,1
36148133,1,negative,4.0,0
36148133,2,negative,7.0,0
36148133,3,negative,5.0,0
36148133,4,positive,7.0,1
36148133,5,positive,6.0,1
36148133,6,negative,2.0,0
36148133,7,positive,6.0,1
36148133,8,positive,7.0,1
36148133,9,positive,2.0,1
36148133,10,negative,7.0,0
36148273,1,negative,1.0,0
36148273,2,positive,5.0,1
36148273,3,positive,5.0,1
36148273,4,negative,1.0,0
36148273,5,negative,1.0,0
36148273,6,negative,1.0,0
36148273,7,positive,1.0,1
36148273,8,positive,4.0,1
36148273,9,positive,4.0,1
36148273,10,negative,4.0,0
36149726,1,negative,6.0,0
36149726,2,negative,6.0,0
36149726,3,negative,6.0,0
36149726,4,positive,3.0,1
36149726,5,positive,2.0,1
36149726,6,negative,6.0,0
36149726,7,positive,2.0,1
36149726,8,positive,4.0,1
36149726,9,positive,3.0,1
36149726,10,negative,6.0,0
36150929,1,positive,5.0,1
36150929,2,positive,7.0,1
36150929,3,negative,3.0,0
36150929,4,negative,3.0,0
36150929,5,positive,5.0,1
36150929,6,negative,5.0,0
36150929,7,positive,6.0,1
36150929,8,negative,3.0,0
36150929,9,negative,2.0,0
36150929,10,positive,4.0,1
36151109,1,negative,2.0,0
36151109,2,positive,2.0,1
36151109,3,positive,1.0,1
36151109,4,positive,2.0,1
36151109,5,negative,3.0,0
36151109,6,negative,1.0,0
36151109,7,positive,2.0,1
36151109,8,negative,3.0,0
36151109,9,negative,2.0,0
36151109,10,positive,1.0,1
36152122,1,positive,7.0,1
36152122,2,positive,6.0,1
36152122,3,negative,7.0,0
36152122,4,negative,2.0,0
36152122,5,positive,3.0,1
36152122,6,negative,7.0,0
36152122,7,positive,3.0,1
36152122,8,negative,2.0,0
36152122,9,negative,7.0,0
36152122,10,positive,7.0,1
36152493,1,positive,3.0,1
36152493,2,positive,4.0,1
36152493,3,negative,5.0,0
36152493,4,negative,6.0,0
36152493,5,positive,5.0,1
36152493,6,negative,3.0,0
36152493,7,positive,2.0,1
36152493,8,negative,6.0,0
36152493,9,negative,1.0,0
36152493,10,positive,3.0,1
36153550,1,negative,5.0,0
36153550,2,negative,5.0,0
36153550,3,positive,5.0,1
36153550,4,positive,5.0,1
36153550,5,positive,3.0,1
36153550,6,positive,2.0,1
36153550,7,negative,6.0,0
36153550,8,negative,4.0,0
36153550,9,positive,2.0,1
36153550,10,negative,5.0,0
36153648,1,negative,4.0,0
36153648,2,positive,4.0,1
36153648,3,positive,4.0,1
36153648,4,positive,5.0,1
36153648,5,negative,7.0,0
36153648,6,negative,1.0,0
36153648,7,positive,4.0,1
36153648,8,negative,7.0,0
36153648,9,negative,1.0,0
36153648,10,positive,4.0,1
36153831,1,negative,7.0,0
36153831,2,negative,7.0,0
36153831,3,positive,6.0,1
36153831,4,positive,5.0,1
36153831,5,positive,5.0,1
36153831,6,positive,4.0,1
36153831,7,negative,7.0,0
36153831,8,negative,7.0,0
36153831,9,positive,5.0,1
36153831,10,negative,1.0,0
36154696,1,negative,5.0,0
36154696,2,negative,7.0,0
36154696,3,positive,5.0,1
36154696,4,positive,5.0,1
36154696,5,positive,6.0,1
36154696,6,positive,2.0,1
36154696,7,negative,7.0,0
36154696,8,negative,2.0,0
36154696,9,positive,5.0,1
36154696,10,negative,6.0,0
36155805,1,positive,7.0,1
36155805,2,negative,6.0,0
36155805,3,negative,2.0,0
36155805,4,negative,7.0,0
36155805,5,positive,5.0,1
36155805,6,positive,2.0,1
36155805,7,positive,4.0,1
36155805,8,negative,7.0,0
36155805,9,negative,1.0,0
36155805,10,positive,4.0,1
36156340,1,positive,5.0,1
36156340,2,positive,4.0,1
36156340,3,negative,3.0,0
36156340,4,negative,5.0,0
36156340,5,positive,3.0,1
36156340,6,negative,1.0,0
36156340,7,positive,1.0,1
36156340,8,negative,5.0,0
36156340,9,negative,1.0,0
36156340,10,positive,4.0,1
36160496,1,positive,5.0,1
36160496,2,negative,4.0,0
36160496,3,negative,3.0,0
36160496,4,negative,4.0,0
36160496,5,positive,7.0,1
36160496,6,positive,3.0,1
36160496,7,positive,3.0,1
36160496,8,negative,7.0,0
36160496,9,negative,2.0,0
36160496,10,positive,7.0,1
36175929,1,positive,5.0,1
36175929,2,negative,5.0,0
36175929,3,negative,6.0,0
36175929,4,negative,6.0,0
36175929,5,positive,6.0,1
36175929,6,positive,2.0,1
36175929,7,positive,5.0,1
36175929,8,negative,6.0,0
36175929,9,negative,3.0,0
36175929,10,positive,6.0,1
36176011,1,positive,2.0,1
36176011,2,negative,1.0,0
36176011,3,negative,1.0,0
36176011,4,negative,2.0,0
36176011,5,positive,3.0,1
36176011,6,positive,1.0,1
36176011,7,positive,1.0,1
36176011,8,negative,4.0,0
36176011,9,negative,1.0,0
36176011,10,positive,2.0,1
36184062,1,negative,3.0,0
36184062,2,negative,7.0,0
36184062,3,positive,7.0,1
36184062,4,positive,7.0,1
36184062,5,positive,7.0,1
36184062,6,positive,1.0,1
36184062,7,negative,1.0,0
36184062,8,negative,7.0,0
36184062,9,positive,1.0,1
36184062,10,negative,7.0,0
36194341,1,negative,5.0,0
36194341,2,negative,5.0,0
36194341,3,negative,7.0,0
36194341,4,positive,6.0,1
36194341,5,positive,5.0,1
36194341,6,negative,7.0,0
36194341,7,positive,3.0,1
36194341,8,positive,7.0,1
36194341,9,positive,5.0,1
36194341,10,negative,7.0,0
36196682,1,negative,7.0,0
36196682,2,positive,7.0,1
36196682,3,positive,4.0,1
36196682,4,negative,4.0,0
36196682,5,negative,3.0,0
36196682,6,negative,7.0,0
36196682,7,positive,3.0,1
36196682,8,positive,5.0,1
36196682,9,positive,5.0,1
36196682,10,negative,5.0,0
36204396,1,negative,2.0,0
36204396,2,negative,7.0,0
36204396,3,positive,7.0,1
36204396,4,positive,7.0,1
36204396,5,positive,6.0,1
36204396,6,positive,4.0,1
36204396,7,negative,2.0,0
36204396,8,negative,7.0,0
36204396,9,positive,6.0,1
36204396,10,negative,7.0,0
36206029,1,positive,5.0,1
36206029,2,positive,5.0,1
36206029,3,negative,1.0,0
36206029,4,negative,5.0,0
36206029,5,positive,7.0,1
36206029,6,negative,1.0,0
36206029,7,positive,3.0,1
36206029,8,negative,6.0,0
36206029,9,negative,1.0,0
36206029,10,positive,3.0,1
36211355,1,negative,4.0,0
36211355,2,positive,7.0,1
36211355,3,positive,3.0,1
36211355,4,positive,6.0,1
36211355,5,negative,4.0,0
36211355,6,negative,3.0,0
36211355,7,positive,5.0,1
